report_id,date_time,person_role,person_injury_lvl,person_veh_type,veh_type,veh_make,veh_model,police_beat,address_no_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl
1608616,2016-02-11 07:30:00,DRIVER,,,,TOYOTA,CAMRY,326,0, ,I-8 EB, , ,WARING,ROAD,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,
1608616,2016-02-11 07:30:00,DRIVER,PAIN,,,DODGE,CALIBER,326,0, ,I-8 EB, , ,WARING,ROAD,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,
1607558,2016-06-12 12:47:00,DRIVER,PAIN,,,HONDA,,111,0, ,ATLAS,STREET, ,STALMER,STREET,21802A,VC,"ENTRANCE FROM STOP THROUGH HIGHWAY,YIELD UNTIL REASONABLY SAFE",2,0,
1609542,2016-07-01 21:04:00,DRIVER,,,,TOYOTA,,521,0, ,17TH,STREET, ,MARKET,STREET,21950A,VC,YIELD RIGHT OF WAY TO PEDESTRIANS,1,0,
1609543,2016-07-29 18:00:00,DRIVER,PAIN,,,JEEP,,524,0, ,05TH,AVENUE, ,ASH,STREET,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",1,0,
1609543,2016-07-29 18:00:00,DRIVER,,,,VOLKSWAGEN,,524,0, ,05TH,AVENUE, ,ASH,STREET,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",1,0,
1606835,2016-08-09 17:25:00,DRIVER,,,,CHEVROLET,,611,0, ,CAM DEL RIO WEST, , ,MOORE,STREET,21801A,VC,LEFT TURN YIELD UNTIL SAFE OR U-TURN,1,0,
1606835,2016-08-09 17:25:00,DRIVER,PAIN,,,CHRYSLER,300 SERIES,611,0, ,CAM DEL RIO WEST, , ,MOORE,STREET,21801A,VC,LEFT TURN YIELD UNTIL SAFE OR U-TURN,1,0,
1606740,2016-08-09 17:35:00,DRIVER,,,,MINI,COOPER,936,0, ,CARMEL VALLEY,ROAD, ,TORREY DEL MAR,DRIVE,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",1,0,
1606740,2016-08-09 17:35:00,DRIVER,,,,FORD,FUSION,936,0, ,CARMEL VALLEY,ROAD, ,TORREY DEL MAR,DRIVE,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",1,0,
1606767,2016-08-10 16:18:00,DRIVER,PAIN,,AUTOMOBILE,TOYOTA,COROLLA,123,0, ,SEA WORLD,DRIVE, ,SUNSET CLIFFS,BOULEVARD,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,
1606767,2016-08-10 16:18:00,DRIVER,,,LIGHT DUTY TRUCK,TOYOTA,TACOMA,123,0, ,SEA WORLD,DRIVE, ,SUNSET CLIFFS,BOULEVARD,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,
1606942,2016-08-10 20:24:00,DRIVER,,,,MITSUBISHI,MIRAGE,447,0, ,49TH,STREET, ,FEDERAL,BOULEVARD,21801A,VC,LEFT TURN YIELD UNTIL SAFE OR U-TURN,2,0,
1606942,2016-08-10 20:24:00,DRIVER,,,,CADILLAC,ESCALADE,447,0, ,49TH,STREET, ,FEDERAL,BOULEVARD,21801A,VC,LEFT TURN YIELD UNTIL SAFE OR U-TURN,2,0,
