objectid,roadsegid,iamfloc,rd20full,xstrt1,xstrt2,llowaddr,lhighaddr,rlowaddr,rhighaddr,zip,pwidth,pav_length,paveclass,funclass,cpname,pci23,pci23_d,road_norm,c1,c2,seg_key,adt_recent,adt_date,adt_mean,n_counts,seg_miles,vmt_day_recent
13081,927537.0,SS-016508-PV1,LINDA VISTA RD,NAPA ST,METRO ST,5200.0,5258.0,5201.0,5259.0,92110.0,66.0,329.6074,AC Improved,CL 4 LN COLLECTOR WITH 2 WY LEFT TURN LN,Linda Vista,44.86,Poor,LINDA VISTA RD,NAPA ST,METRO ST,LINDA VISTA RD|METRO ST|NAPA ST,21580.0,2010-08-25,21580.0,1.0,0.062425643939393934,1347.145396212121
6647,905864.0,SS-010935-PV1,FAY AV,RUSHVILLE ST,GENTER ST,7150.0,7298.0,7151.0,7299.0,92037.0,52.0,555.9175,AC Improved,CL 2 LANE SUB-COLLECTOR,La Jolla,75.47,Satisfactory,FAY AVE,RUSHVILLE ST,GENTER ST,FAY AVE|GENTER ST|RUSHVILLE ST,8915.0,2010-10-14,8915.0,1.0,0.10528740530303031,938.6372182765152
21322,920556.0,SS-004860-PV1,BRIARWOOD RD,GOODE ST,ALTA VIEW DR,1201.0,1299.0,1200.0,1298.0,92139.0,64.0,684.0,AC Improved,CL 2 LANE COLLECTOR,Skyline-Paradise Hills,69.72,Fair,BRIARWOOD RD,GOODE ST,ALTA VIEW DR,BRIARWOOD RD|ALTA VIEW DR|GOODE ST,12004.0,2018-02-07,13664.4,5.0,0.12954545454545455,1555.0636363636363
752,915951.0,SS-022190-PV1,POMERADO RD,STONE CANYON RD,NACIDO DR,16000.0,16198.0,16001.0,16199.0,92128.0,82.0,1275.2777,AC Improved,CL 4 LN COLLECTOR WITH 2 WY LEFT TURN LN,Rancho Bernardo,73.32,Satisfactory,POMERADO RD,STONE CANYON RD,NACIDO DR,POMERADO RD|NACIDO DR|STONE CANYON RD,19511.0,2015-07-21,20989.0,4.0,0.24152986742424246,4712.489243314394
5225,916835.0,SS-024550-PV1,SCRIPPS RANCH BL,POMERADO RD,IRONWOOD RD,9840.0,9958.0,9841.0,9959.0,92131.0,54.0,1266.7263,AC Improved,CL 4 LN COLLECTOR WITH 2 WY LEFT TURN LN,Scripps Miramar Ranch,83.46,Satisfactory,SCRIPPS RANCH BL,POMERADO RD,IRONWOOD RD,SCRIPPS RANCH BL|IRONWOOD RD|POMERADO RD,5698.0,2018-02-21,5632.428571428572,7.0,0.2399102840909091,1367.0087987499999
14567,910263.0,SS-000656-PV1,30TH ST,LINCOLN AV,POLK AV,4000.0,4098.0,4001.0,4099.0,92104.0,52.0,680.0,AC Improved,CL 2 LANE COLLECTOR,North Park,86.12,Good,30TH ST,LINCOLN AVE,POLK AVE,30TH ST|LINCOLN AVE|POLK AVE,11865.0,2010-07-08,11865.0,1.0,0.12878787878787878,1528.0681818181818
25771,921247.0,SS-012987-PV1,HANCOCK ST,ROSECRANS ST,GAINES ST,3001.0,3099.0,3000.0,3098.0,92110.0,40.0,379.6066,AC Improved,CL 2 LANE COLLECTOR,Midway-Pacific Highway,48.02,Poor,HANCOCK ST,ROSECRANS ST,GAINES ST,HANCOCK ST|GAINES ST|ROSECRANS ST,2560.0,2014-06-04,2775.0,2.0,0.0718951893939394,184.05168484848485
9698,925854.0,SS-024859-PV1,SHAWNEE RD,MARK TR,RAPPAHANNOCK AV,3550.0,3598.0,3551.0,3599.0,92117.0,40.0,381.0887,AC Improved,CL 2 LANE SUB-COLLECTOR,Clairemont Mesa,67.47,Fair,SHAWNEE RD,MARK TR,RAPPAHANNOCK AVE,SHAWNEE RD|MARK TR|RAPPAHANNOCK AVE,1689.0,2014-11-13,1664.5,2.0,0.07217589015151515,121.9050784659091
19171,918857.0,SS-024165-PV1,SAN VICENTE ST,CARDIFF ST,BILLOW DR,8500.0,8538.0,8501.0,8539.0,92114.0,40.0,266.6103,AC Improved,CL 2 LANE COLLECTOR WITH 2 WAY LEFT TURN,Skyline-Paradise Hills,20.26,Serious,SAN VICENTE ST,CARDIFF ST,BILLOW DR,SAN VICENTE ST|BILLOW DR|CARDIFF ST,4006.0,2022-01-27,3807.0,3.0,0.050494375,202.28046625000002
7020,906187.0,SS-007286-PV1,CLAIREMONT MESA BL,RUFFNER ST,CONVOY ST,7400.0,7798.0,7401.0,7799.0,92111.0,102.0,1824.0024,AC Improved,MJ SIX LANE URBAN MAJOR,Kearny Mesa,15.94,Serious,CLAIREMONT MESA BL,RUFFNER ST,CONVOY ST,CLAIREMONT MESA BL|CONVOY ST|RUFFNER ST,29336.0,2016-09-08,28213.5,4.0,0.345455,10134.267880000001
