iamfloc,repair_date,project_type,avg_crashes_before,avg_crashes_after,crashes_per_mile_before,crashes_per_mile_after,crash_reduction,crash_reduction_pct
SS-020778-PV1,2017-01-03,OVERLAY,0.0,0.0,0.0,0.0,0.0,
SS-030502-PV1,2017-01-04,OVERLAY,0.0,0.0,0.0,0.0,0.0,
SS-020779-PV1,2017-01-04,OVERLAY,0.0,0.5,0.0,1.4417130959265105,-0.5,
SS-020773-PV1,2017-01-04,OVERLAY,0.0,0.0,0.0,0.0,0.0,
SS-007561-PV1,2017-01-17,OVERLAY,0.0,0.0,0.0,0.0,0.0,
SS-007560-PV1,2017-01-17,OVERLAY,2.0,2.5,51.26216080687418,64.07770100859273,-0.5,-25.0
SS-006516-PV1,2017-01-18,OVERLAY,0.0,0.0,0.0,0.0,0.0,
SS-001401-PV1,2017-01-18,OVERLAY,0.0,0.0,0.0,0.0,0.0,
SS-001402-PV1,2017-01-18,OVERLAY,0.0,0.0,0.0,0.0,0.0,
SS-001432-PV1,2017-01-18,OVERLAY,0.0,2.0,0.0,36.47303033547589,-2.0,
SS-025039-PV1,2017-01-25,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-025038-PV1,2017-01-25,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-025036-PV1,2017-01-25,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-025040-PV1,2017-01-25,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-001837-PV1,2017-01-25,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-006324-PV1,2017-01-25,OVERLAY,0.0,0.0,0.0,0.0,0.0,
SS-026184-PV1,2017-01-25,OVERLAY,0.0,0.0,0.0,0.0,0.0,
SS-026187-PV1,2017-01-25,OVERLAY,0.0,0.0,0.0,0.0,0.0,
SS-027954-PV1,2017-01-25,OVERLAY,0.0,0.0,0.0,0.0,0.0,
SS-006791-PV1,2017-01-26,OVERLAY,0.0,0.0,0.0,0.0,0.0,
SS-006322-PV1,2017-01-26,OVERLAY,0.0,0.0,0.0,0.0,0.0,
SS-001834-PV1,2017-01-27,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-001835-PV1,2017-01-27,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-001836-PV1,2017-01-27,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-022655-PV1,2017-01-27,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-022219-PV1,2017-01-27,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-009817-PV1,2017-01-27,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-022656-PV1,2017-01-27,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-022660-PV1,2017-01-27,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-022661-PV1,2017-01-27,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-009816-PV1,2017-01-27,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-020588-PV1,2017-01-29,SLURRY,0.0,3.0,0.0,193.15683383756536,-3.0,
SS-020589-PV1,2017-01-29,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-020586-PV1,2017-01-29,SLURRY,0.0,3.5,0.0,51.819559135566756,-3.5,
SS-020584-PV1,2017-01-29,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-020583-PV1,2017-01-29,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-020582-PV1,2017-01-29,SLURRY,2.0,0.5,88.7268950880085,22.181723772002126,1.5,75.0
SS-020581-PV1,2017-01-29,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-020591-PV1,2017-01-29,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-020592-PV1,2017-01-29,SLURRY,0.0,3.0,0.0,216.904293719087,-3.0,
SS-020605-PV1,2017-01-29,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-020606-PV1,2017-01-29,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-020607-PV1,2017-01-29,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-020608-PV1,2017-01-29,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-020609-PV1,2017-01-29,SLURRY,0.0,0.5,0.0,7.039100872181925,-0.5,
SS-020610-PV1,2017-01-29,SLURRY,0.0,2.0,0.0,27.713109481741235,-2.0,
SS-020611-PV1,2017-01-29,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-007078-PV1,2017-01-30,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-008293-PV1,2017-01-30,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-000947-PV1,2017-01-30,SLURRY,1.0,1.0,7.9869836369698115,7.9869836369698115,0.0,0.0
SS-007075-PV1,2017-01-30,SLURRY,0.0,0.5,0.0,3.738923439311041,-0.5,
SS-000915-PV1,2017-01-30,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-022663-PV1,2017-01-30,SLURRY,0.0,0.5,0.0,10.658299363368474,-0.5,
SS-000914-PV1,2017-01-30,SLURRY,0.0,0.0,0.0,0.0,0.0,
SS-028869-PV1,2017-01-30,SLURRY,1.0,0.0,7.763497973403549,0.0,1.0,100.0
