task_id,iamfloc,pve_id,wo_id,title,project_manager,project_manager_phone,status,project_type,resident_engineer,address_street,street_from,street_to,council_district,community_planning_area,funclass,length,width,date_moratorium,date_start,date_end,paving_miles,pci_16,pci23,pci_before,pci_after_estimate,pci_after,pci_improvement,improvement_pct,is_effective
133564,SS-032210-PV1,903970,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,SILVERBUSH CREEK ST,MARGUERITE CREEK WY,LOPELIA MEADOWS PL,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,397,36.0,2016-07-01,2016-07-01,2016-07-01,0.0751893939393939,99.5,78.69,99.5,99.5,99.5,0.0,0.0,False
133563,SS-032209-PV1,903968,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,SILVERBUSH CREEK ST,HYACINTH HILLS WY,MARGUERITE CREEK WY,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,270,36.0,2016-07-01,2016-07-01,2016-07-01,0.0511363636363636,99.5,75.45,99.5,99.5,99.5,0.0,0.0,False
133562,SS-032208-PV1,903966,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,SILVERBUSH CREEK ST,ZINNIA HILLS PL,HYACINTH HILLS WY,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,325,36.0,2016-07-01,2016-07-01,2016-07-01,0.0615530303030303,99.5,82.47,99.5,99.5,99.5,0.0,0.0,False
133572,SS-032212-PV1,903972,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,MARGUERITE CREEK WY,SILVERBUSH CREEK ST,QUAIL RUN ST,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,652,32.0,2016-07-05,2016-07-05,2016-07-05,0.1234848484848484,100.0,79.36,99.9673159144893,99.96731591448932,99.96731591448932,1.4210854715202004e-14,1.421550092167902e-14,False
133570,SS-031840-PV1,922739,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,LOPELIA MEADOWS PL,CARMEL VALLEY RD,END,1,PACIFIC HIGHLANDS RANCH,RES CUL DE SAC,420,52.0,2016-07-05,2016-07-05,2016-07-05,0.159090909090909,100.0,79.48,99.96750593824228,99.96750593824228,99.96750593824228,0.0,0.0,False
133576,SS-031925-PV1,914574,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,GINGER GLEN RD,BLAZING STAR LN,ASTER MEADOWS PL,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,1571,34.0,2016-07-05,2016-07-05,2016-07-05,0.2975378787878787,92.88,80.1,92.85976247030878,92.85976247030878,92.85976247030878,0.0,0.0,False
133571,SS-032207-PV1,903977,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,VALERIAN VISTA PL,SUNFLOWER CREST PL,ZINNIA HILLS PL,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,481,36.0,2016-07-05,2016-07-05,2016-07-05,0.0910984848484848,99.5,79.68,99.4686144101346,99.4686144101346,99.4686144101346,0.0,0.0,False
133574,SS-032245-PV1,901348,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,SAGE MESA RD,SILVERBUSH CREEK ST,MONTEZ VILLA RD,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,607,36.0,2016-07-05,2016-07-05,2016-07-05,0.1149621212121212,97.32,71.17,97.27859065716547,97.27859065716547,97.27859065716547,0.0,0.0,False
133567,SS-003135-PV1,923326,S1601,SLURRY SEAL GROUP 1601,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,AVNDA DE LA CANTINA,CALLE CABALLEROS,AVNDA GRANDE,5,RANCHO PENASQUITOS,RES RESIDENTIAL LOCAL STREET,262,36.0,2016-07-05,2016-07-05,2016-07-05,0.0496212121212121,86.81,85.08,86.80726049089469,86.80726049089469,86.80726049089469,0.0,0.0,False
133568,SS-003136-PV1,923333,S1601,SLURRY SEAL GROUP 1601,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,AVNDA DE LA CANTINA,AVNDA DEL GENERAL,CALLE CABALLEROS,5,RANCHO PENASQUITOS,RES RESIDENTIAL LOCAL STREET,292,36.0,2016-07-05,2016-07-05,2016-07-05,0.0553030303030303,96.64,93.6,96.63518606492478,96.63518606492478,96.63518606492478,0.0,0.0,False
133575,SS-032247-PV1,901345,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,CHAMISE VISTA LN,MONTEZ VILLA RD,SILVERBUSH CREEK ST,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,582,36.0,2016-07-05,2016-07-05,2016-07-05,0.1102272727272727,98.0,83.32,97.97675376088678,97.97675376088678,97.97675376088678,0.0,0.0,False
133573,SS-032244-PV1,901347,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,SAGE MESA RD,MONTEZ VILLA RD,QUAIL RUN ST,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,314,36.0,2016-07-05,2016-07-05,2016-07-05,0.0594696969696969,98.0,69.11,97.95425178147268,97.95425178147268,97.95425178147268,0.0,0.0,False
133569,SS-025828-PV1,923231,S1601,SLURRY SEAL GROUP 1601,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,SUNDANCE CT,BEGIN,SUNDANCE AV,5,RANCHO PENASQUITOS,RES RESIDENTIAL LOCAL STREET,623,30.0,2016-07-05,2016-07-05,2016-07-05,0.1179924242424242,56.35,84.98,56.395336500395885,56.395336500395885,84.98,28.58466349960412,50.68621853050467,True
133603,SS-000539-PV1,921859,UTLY,Public Works CIP,engineering@sandiego.gov,858-627-3200,POST CONSTRUCTION,SLURRY,ECP,26TH ST,J ST,ISLAND AV,8,SOUTHEASTERN SAN DIEGO,RES RESIDENTIAL LOCAL STREET,389,40.0,2016-07-06,2016-07-06,2016-07-06,0.0736742424242424,86.44,74.83,86.4170190023753,86.4170190023753,86.4170190023753,0.0,0.0,False
133583,SS-026759-PV1,923369,S1601,SLURRY SEAL GROUP 1601,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,TRAIL DUST AV,OLD WEST WY,TWIN TRAILS DR,5,RANCHO PENASQUITOS,RES RESIDENTIAL LOCAL STREET,1067,36.0,2016-07-06,2016-07-06,2016-07-06,0.2020833333333333,69.15,65.55,69.14287410926366,69.14287410926366,69.14287410926366,0.0,0.0,False
133586,SS-031064-PV1,901569,S1601,SLURRY SEAL GROUP 1601,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,ENTREKEN WY,AUBURN RIDGE WY,AUBURN RIDGE WY,5,TORREY HIGHLANDS,RES RESIDENTIAL LOCAL STREET,1070,40.0,2016-07-06,2016-07-06,2016-07-06,0.2026515151515151,91.05,84.46,91.03695566112431,91.03695566112431,91.03695566112431,0.0,0.0,False
133585,SS-026761-PV1,923379,S1601,SLURRY SEAL GROUP 1601,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,TRAIL DUST AV,OLD WEST AV,RIFLE WY,5,RANCHO PENASQUITOS,RES RESIDENTIAL LOCAL STREET,663,36.0,2016-07-06,2016-07-06,2016-07-06,0.1255681818181818,46.61,74.8,46.66579968329374,46.66579968329374,74.8,28.134200316706256,60.288692163520864,True
