seg_id,pci,pci_desc
SS-000001-PV1,80.66,Satisfactory
SS-000002-PV1,89.72,Good
SS-000003-PV1,90.7,Good
SS-000004-PV1,90.83,Good
SS-000005-PV1,58.58,Fair
SS-000006-PV1,40.55,Poor
SS-000007-PV1,91.1,Good
SS-000008-PV1,95.35,Good
SS-000009-PV1,37.13,Very Poor
SS-000010-PV1,68.06,Fair
SS-000011-PV1,81.1,Satisfactory
SS-000012-PV1,56.73,Fair
SS-000013-PV1,60.84,Fair
SS-000014-PV1,61.02,Fair
SS-000015-PV1,66.29,Fair
SS-000016-PV1,73.35,Satisfactory
SS-000018-PV1,95.18,Good
SS-000019-PV1,25.96,Very Poor
SS-000020-PV1,79.49,Satisfactory
SS-000021-PV1,85.7,Good
SS-000022-PV1,80.71,Satisfactory
SS-000023-PV1,70.14,Satisfactory
SS-000024-PV1,58.11,Fair
SS-000025-PV1,64,Fair
SS-000026-PV1,46.03,Poor
SS-000027-PV1,97.29,Good
SS-000028-PV1,96,Good
SS-000029-PV1,96,Good
SS-000030-PV1,96,Good
SS-000031-PV1,,
SS-000032-PV1,48.81,Poor
SS-000033-PV1,61.36,Fair
SS-000034-PV1,84.8,Satisfactory
SS-000035-PV1,92.41,Good
SS-000036-PV1,96.57,Good
SS-000037-PV1,85.8,Good
SS-000038-PV1,96,Good
SS-000039-PV1,57.5,Fair
SS-000041-PV1,62,Fair
SS-000042-PV1,60.85,Fair
SS-000043-PV1,59.06,Fair
SS-000044-PV1,59.29,Fair
SS-000045-PV1,51.44,Poor
SS-000046-PV1,31.93,Very Poor
SS-000047-PV1,39.15,Very Poor
SS-000048-PV1,82.93,Satisfactory
SS-000049-PV1,89,Good
SS-000050-PV1,55.41,Fair
SS-000051-PV1,74.31,Satisfactory
SS-000052-PV1,91.91,Good
SS-000053-PV1,94.73,Good
SS-000054-PV1,66,Fair
SS-000055-PV1,89.18,Good
SS-000056-PV1,95.61,Good
SS-000057-PV1,94,Good
